Principal Path (Best Move Sequence)
====================================
Depth 9  | MAX chose move (2, 1) with score 0
Depth 8  | MIN chose move (2, 1) with score -1
Depth 8  | MIN chose move (2, 1) with score -1
Depth 8  | MIN chose move (1, 0) with score -1
Depth 8  | MIN chose move (1, 0) with score 0
Depth 8  | MIN chose move (1, 2) with score 0
Depth 7  | MAX chose move (2, 0) with score 1
Depth 7  | MAX chose move (2, 1) with score 0
Depth 7  | MAX chose move (1, 2) with score -1
Depth 7  | MAX chose move (2, 2) with score 1
Depth 7  | MAX chose move (2, 2) with score 1
Depth 7  | MAX chose move (1, 2) with score -1
Depth 7  | MAX chose move (1, 2) with score 0
Depth 7  | MAX chose move (1, 0) with score 0
Depth 7  | MAX chose move (1, 0) with score 0
Depth 7  | MAX chose move (1, 0) with score 0
Depth 7  | MAX chose move (1, 2) with score 1
Depth 7  | MAX chose move (1, 0) with score 0
Depth 6  | MIN chose move (2, 0) with score 0
Depth 6  | MIN chose move (2, 0) with score 0
Depth 6  | MIN chose move (2, 1) with score -1
Depth 6  | MIN chose move (1, 2) with score 0
Depth 6  | MIN chose move (1, 2) with score 0
Depth 6  | MIN chose move (2, 1) with score -1
Depth 6  | MIN chose move (2, 1) with score -1
Depth 6  | MIN chose move (2, 2) with score 0
Depth 6  | MIN chose move (2, 1) with score -1
Depth 6  | MIN chose move (2, 2) with score 0
Depth 6  | MIN chose move (2, 1) with score -1
Depth 6  | MIN chose move (1, 2) with score -1
Depth 6  | MIN chose move (1, 2) with score -1
Depth 6  | MIN chose move (2, 2) with score 0
Depth 6  | MIN chose move (1, 2) with score -1
Depth 6  | MIN chose move (1, 2) with score -1
Depth 6  | MIN chose move (2, 0) with score 0
Depth 6  | MIN chose move (1, 2) with score 0
Depth 6  | MIN chose move (2, 0) with score 0
Depth 6  | MIN chose move (1, 2) with score -1
Depth 6  | MIN chose move (1, 2) with score -1
Depth 6  | MIN chose move (2, 0) with score 0
Depth 6  | MIN chose move (1, 0) with score -1
Depth 6  | MIN chose move (1, 0) with score -1
Depth 5  | MAX chose move (2, 2) with score 0
Depth 5  | MAX chose move (2, 1) with score 0
Depth 5  | MAX chose move (2, 1) with score 0
Depth 5  | MAX chose move (2, 2) with score 0
Depth 5  | MAX chose move (1, 2) with score 0
Depth 5  | MAX chose move (2, 1) with score 0
Depth 5  | MAX chose move (2, 1) with score 0
Depth 5  | MAX chose move (2, 2) with score 1
Depth 5  | MAX chose move (2, 0) with score 0
Depth 5  | MAX chose move (2, 2) with score 1
Depth 5  | MAX chose move (1, 0) with score 0
Depth 5  | MAX chose move (2, 2) with score 1
Depth 5  | MAX chose move (2, 0) with score 0
Depth 5  | MAX chose move (2, 2) with score 0
Depth 5  | MAX chose move (2, 0) with score 1
Depth 5  | MAX chose move (2, 2) with score 0
Depth 5  | MAX chose move (1, 2) with score 0
Depth 5  | MAX chose move (2, 0) with score 1
Depth 5  | MAX chose move (1, 2) with score 0
Depth 5  | MAX chose move (2, 1) with score 0
------------------------------------
Final Evaluation: 0 (from root depth 5)
